gene,invivo,invitro
MRPS34,ENST00000177742,ENST00000177742
MRPS36,ENST00000256441,ENST00000256441
MT-ATP6,ENST00000361899,ENST00000361899
MT-ATP8,ENST00000361851,ENST00000361851
MT-CO1,ENST00000361624,ENST00000361624
MT-CO2,ENST00000361739,ENST00000361739
MT-CO3,ENST00000362079,ENST00000362079
MT-CYB,ENST00000361789,ENST00000361789
MT-ND1,ENST00000361390,ENST00000361390
MT-ND2,ENST00000361453,ENST00000361453
MT-ND3,ENST00000361227,ENST00000361227
MT-ND4,ENST00000361381,ENST00000361381
MT-ND5,ENST00000361567,ENST00000361567
MT-ND6,ENST00000361681,ENST00000361681
MT-RNR1,ENST00000389680,ENST00000389680
MT-RNR2,ENST00000387347,ENST00000387347
MT-TD,ENST00000387419,ENST00000387419
MT-TE,,ENST00000387459
MT-TF,ENST00000387314,ENST00000387314
MT-TG,ENST00000387429,ENST00000387429
MT-TH,ENST00000387441,ENST00000387441
MT-TI,ENST00000387365,ENST00000387365
MT-TL2,ENST00000387456,ENST00000387456
MT-TM,ENST00000387377,ENST00000387377
MT-TN,ENST00000387400,ENST00000387400
MT-TP,ENST00000387461,ENST00000387461
MT-TR,ENST00000387439,ENST00000387439
MT-TV,ENST00000387342,ENST00000387342
MTCH1,ENST00000460219,ENST00000460219
MTHFD1,ENST00000554057,ENST00000554057
MTHFD2,ENST00000462026,ENST00000462026
MTHFS,ENST00000559722,ENST00000559722
MTX2,ENST00000249442,ENST00000249442
MXRA7,ENST00000592148,ENST00000592148
MYC,ENST00000621592,ENST00000621592
MYDGF,ENST00000599761,ENST00000599761
MYL12A,ENST00000217652,ENST00000217652
MZT1,ENST00000377818,ENST00000377818
MZT2A,ENST00000410036,ENST00000410036
MZT2B,ENST00000455239,ENST00000455239
NAA38,ENST00000575771,ENST00000575771
NABP2,ENST00000267023,ENST00000267023
NACA,ENST00000356769,ENST00000356769
NAE1,ENST00000566336,ENST00000566336
NARS2,ENST00000281038,
NCAPD3,ENST00000534548,
NCAPH,ENST00000455200,
NCL,ENST00000322723,ENST00000322723
NDUFA1,ENST00000371437,ENST00000371437
NDUFA11,ENST00000591160,ENST00000591160
NDUFA12,ENST00000327772,ENST00000327772
NDUFA13,ENST00000507754,ENST00000507754
NDUFA2,ENST00000510680,ENST00000510680
NDUFA4,ENST00000339600,ENST00000339600
NDUFA6,ENST00000617763,ENST00000617763
NDUFA7,ENST00000301457,ENST00000301457
NDUFA8,ENST00000373768,ENST00000373768
NDUFA9,ENST00000540688,ENST00000540688
NDUFAB1,ENST00000007516,ENST00000007516
NDUFAF4,ENST00000316149,ENST00000316149
NDUFAF8,ENST00000431388,ENST00000431388
NDUFB1,ENST00000605997,ENST00000605997
NDUFB10,ENST00000268668,ENST00000268668
NDUFB11,ENST00000276062,ENST00000276062
NDUFB2,ENST00000461457,ENST00000461457
NDUFB3,,ENST00000433898
NDUFB4,ENST00000184266,ENST00000184266
NDUFB6,ENST00000379847,ENST00000379847
NDUFB7,ENST00000215565,ENST00000215565
NDUFB9,ENST00000276689,ENST00000276689
NDUFS2,ENST00000483804,ENST00000367993
NDUFS3,ENST00000527178,ENST00000527178
NDUFS5,ENST00000372969,ENST00000372969
NDUFS6,ENST00000274137,ENST00000274137
NDUFV2,ENST00000497577,ENST00000497577
NDUFV3,ENST00000460740,ENST00000460740
NENF,ENST00000366988,ENST00000366988
NHP2,ENST00000274606,ENST00000274606
NIPSNAP1,ENST00000415100,ENST00000415100
NIPSNAP2,ENST00000446692,ENST00000446692
NLRP2,ENST00000397169,ENST00000397169
NME1,ENST00000393196,ENST00000393196
NME1-NME2,ENST00000393193,ENST00000393193
